,rouble,date
0,,2023-01-01
1,,2023-01-02
2,,2023-01-03
3,,2023-01-04
4,,2023-01-05
5,,2023-01-06
6,,2023-01-07
7,,2023-01-08
8,,2023-01-09
9,70.3002,2023-01-10
10,69.6094,2023-01-11
11,69.0202,2023-01-12
12,67.7775,2023-01-13
13,67.5744,2023-01-14
14,,2023-01-15
15,,2023-01-16
16,68.2892,2023-01-17
17,68.6644,2023-01-18
18,68.8728,2023-01-19
19,68.8467,2023-01-20
20,68.6656,2023-01-21
21,,2023-01-22
22,,2023-01-23
